Time,Source,Destination,Size
1738653976.067781,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,66
1738653976.068193,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,66
1738653976.3303387,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,66
1738653976.3308282,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653976.3312924,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,571
1738653976.3388886,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,54
1738653976.3392668,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,66
1738653976.3396034,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653976.3401124,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,571
1738653976.34263,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,54
1738653976.5971084,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,153
1738653976.5984237,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,500
1738653976.6028209,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,153
1738653976.6042154,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,500
1738653976.876561,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,1514
1738653976.8772106,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,1514
1738653976.877619,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,82
1738653976.878149,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,1514
1738653976.8785439,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653976.8788686,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,66
1738653976.8830562,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653976.8837574,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,1514
1738653976.884584,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,1514
1738653976.8850298,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,82
1738653976.8858788,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,1514
1738653976.8862684,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653976.8866007,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,66
1738653976.8870606,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653976.887607,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,352
1738653976.8880808,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,352
1738653977.1330252,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,157
1738653977.1334867,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,403
1738653977.1341283,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,81
1738653977.1345747,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653977.1350405,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653977.1353664,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653977.1357603,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,78
1738653977.1401787,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,157
1738653977.140696,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,403
1738653977.1411052,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,81
1738653977.1415045,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653977.1418095,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653977.142318,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,78
1738653977.1426296,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653977.3866918,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,54
1738653977.4002173,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,54
1738653977.9294293,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,85
1738653977.9771125,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,54
1738653978.3694658,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,172
1738653978.369892,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,93
1738653978.3705764,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,1494
1738653978.3710213,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,633
1738653978.6283035,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,54
1738653978.6286597,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,54
1738653978.6290667,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,93
1738653978.6813092,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653978.9402401,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,153
1738653978.941267,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,89
1738653979.3958693,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,89
1738653979.405771,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,54
1738653979.4979732,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,81
1738653979.5515206,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653979.6536825,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,66
1738653980.4511006,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,111
1738653980.5028741,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,54
1738653980.672538,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,432
1738653980.6791692,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,188
1738653980.7716508,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,513
1738653980.7722697,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,176
1738653980.7726836,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,85
1738653980.773037,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653980.777515,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,89
1738653980.8163533,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,54
1738653980.8291698,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,54
1738653980.869819,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,75
1738653980.8731616,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653980.8735476,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653980.873875,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653980.8741772,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653980.8745158,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653980.8748355,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653980.8751242,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653980.877266,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653980.8784313,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,91
1738653980.8788776,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653980.8837533,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,138
1738653980.8842618,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,93
1738653980.8967102,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,66
1738653980.9021516,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,54
1738653980.9025347,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,54
1738653980.9029562,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,93
1738653980.9444623,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653980.9479065,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,66
1738653980.9483252,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653980.9488156,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,468
1738653980.9747963,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,149
1738653980.9752944,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,128
1738653980.9757166,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,85
1738653980.9761298,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,93
1738653980.9764817,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653980.976784,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653980.9771526,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,93
1738653980.9775195,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,89
1738653980.993984,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,54
1738653980.9944086,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,54
1738653981.1763358,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653981.1767323,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653981.1770747,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653981.1773872,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653981.1777062,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653981.177997,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653981.1782906,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653981.1785977,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653981.178899,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653981.230032,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,183
1738653981.2340887,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,117
1738653981.2345731,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,157
1738653981.2349498,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653981.2855127,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653981.4174283,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,106
1738653981.4211667,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,113
1738653981.4216447,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653981.4220781,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,96
1738653981.4224877,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,107
1738653981.4233139,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,100
1738653981.4271107,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,95
1738653981.429403,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,206
1738653981.4389606,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,110
1738653981.441351,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,153
1738653981.4419549,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,1446
1738653981.4423306,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,66
1738653981.442666,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653981.4440925,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,162
1738653981.44469,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,1446
1738653981.4451952,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,66
1738653981.4455414,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653981.4487672,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,1416
1738653981.4492843,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,97
1738653981.449653,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653981.4499602,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,54
1738653981.4730594,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,54
1738653981.473428,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,54
1738653981.4737756,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,54
1738653981.4754355,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,54
1738653981.4758132,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,54
1738653981.5633168,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,55
1738653981.5903287,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,106
1738653981.600098,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,108
1738653981.6373675,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,54
1738653981.6435452,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,54
1738653981.6945963,6c:f6:da:80:61:1e,cc:4e:24:dd:77:fa,106
1738653981.7157524,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,102
1738653981.7193193,cc:4e:24:dd:77:fa,6c:f6:da:80:61:1e,497
